226,14/05/2024,00:09:43,IN
226,14/05/2024,00:09:51,OUT
40,14/05/2024,00:39:40,IN
40,14/05/2024,00:39:49,OUT
133,14/05/2024,01:09:13,IN
133,14/05/2024,01:09:21,OUT
310,14/05/2024,04:40:26,IN
282,14/05/2024,05:55:12,IN
115,14/05/2024,06:05:04,IN
313,14/05/2024,06:39:11,IN
241,14/05/2024,06:52:25,IN
314,14/05/2024,06:53:35,IN
207,14/05/2024,06:57:15,IN
190,14/05/2024,06:58:50,IN
191,14/05/2024,06:59:26,IN
329,14/05/2024,07:03:00,IN
322,14/05/2024,07:03:37,OUT
301,14/05/2024,07:05:38,IN
309,14/05/2024,07:07:22,IN
205,14/05/2024,07:09:46,IN
326,14/05/2024,07:11:33,IN
271,14/05/2024,07:20:44,IN
22,14/05/2024,07:24:06,IN
304,14/05/2024,07:27:45,IN
304,14/05/2024,07:27:56,OUT
143,14/05/2024,07:28:52,IN
275,14/05/2024,07:32:04,IN
37,14/05/2024,07:42:25,IN
144,14/05/2024,07:44:25,IN
297,14/05/2024,07:44:54,IN
258,14/05/2024,07:45:15,IN
31,14/05/2024,07:47:01,IN
211,14/05/2024,07:47:47,IN
199,14/05/2024,07:56:21,IN
99,14/05/2024,07:58:35,IN
211,14/05/2024,08:04:43,OUT
53,14/05/2024,08:10:33,IN
288,14/05/2024,08:10:42,OUT
53,14/05/2024,08:17:18,OUT
268,14/05/2024,08:20:46,OUT
262,14/05/2024,08:25:44,OUT
203,14/05/2024,08:39:44,IN
203,14/05/2024,08:39:53,OUT
203,14/05/2024,08:40:02,IN
163,14/05/2024,08:41:26,OUT
328,14/05/2024,08:49:50,IN
299,14/05/2024,08:53:06,IN
307,14/05/2024,08:58:48,IN
296,14/05/2024,09:01:05,IN
62,14/05/2024,09:01:14,IN
4,14/05/2024,09:01:50,IN
145,14/05/2024,09:02:24,IN
158,14/05/2024,09:08:00,IN
6,14/05/2024,09:10:07,IN
245,14/05/2024,09:11:48,IN
289,14/05/2024,09:13:01,IN
32,14/05/2024,09:19:56,IN
181,14/05/2024,09:20:15,IN
108,14/05/2024,09:25:12,IN
73,14/05/2024,09:28:10,IN
68,14/05/2024,09:28:19,IN
295,14/05/2024,09:50:42,IN
320,14/05/2024,09:52:33,OUT
303,14/05/2024,10:04:06,IN
323,14/05/2024,10:54:08,IN
191,14/05/2024,10:55:21,OUT
211,14/05/2024,11:39:46,IN
90,14/05/2024,11:51:19,OUT
312,14/05/2024,12:15:17,IN
