191,05/04/2024,00:03:04,IN
191,05/04/2024,00:03:13,OUT
312,05/04/2024,00:03:21,IN
312,05/04/2024,00:03:31,OUT
296,05/04/2024,00:03:48,IN
296,05/04/2024,00:03:56,OUT
212,05/04/2024,00:14:20,IN
212,05/04/2024,00:14:27,OUT
226,05/04/2024,00:15:21,IN
226,05/04/2024,00:15:29,OUT
224,05/04/2024,01:03:50,IN
224,05/04/2024,01:03:58,OUT
203,05/04/2024,01:57:11,IN
203,05/04/2024,01:57:20,OUT
278,05/04/2024,01:58:59,IN
278,05/04/2024,01:59:07,OUT
133,05/04/2024,02:44:30,IN
133,05/04/2024,02:44:48,OUT
310,05/04/2024,04:32:03,IN
290,05/04/2024,05:36:13,IN
282,05/04/2024,05:44:39,IN
115,05/04/2024,06:17:33,IN
94,05/04/2024,06:40:09,IN
136,05/04/2024,06:51:20,IN
312,05/04/2024,06:55:27,IN
241,05/04/2024,06:56:55,IN
308,05/04/2024,06:58:01,IN
313,05/04/2024,07:00:11,IN
31,05/04/2024,07:00:46,IN
300,05/04/2024,07:01:05,IN
309,05/04/2024,07:10:53,IN
37,05/04/2024,07:11:16,IN
205,05/04/2024,07:15:37,IN
22,05/04/2024,07:22:03,IN
143,05/04/2024,07:22:29,IN
237,05/04/2024,07:22:55,IN
109,05/04/2024,07:24:04,IN
253,05/04/2024,07:26:07,IN
242,05/04/2024,07:31:23,IN
275,05/04/2024,07:31:32,IN
108,05/04/2024,07:32:02,IN
243,05/04/2024,07:37:14,IN
238,05/04/2024,07:43:52,OUT
211,05/04/2024,07:50:05,IN
53,05/04/2024,07:53:16,OUT
295,05/04/2024,07:57:54,IN
262,05/04/2024,08:16:53,OUT
207,05/04/2024,08:19:25,OUT
284,05/04/2024,08:23:02,IN
268,05/04/2024,08:29:28,OUT
307,05/04/2024,08:42:25,IN
39,05/04/2024,08:49:35,IN
304,05/04/2024,08:59:09,IN
203,05/04/2024,09:02:58,IN
245,05/04/2024,09:03:12,IN
299,05/04/2024,09:04:57,IN
260,05/04/2024,09:07:50,IN
62,05/04/2024,09:09:44,IN
181,05/04/2024,09:15:25,IN
229,05/04/2024,09:15:39,IN
271,05/04/2024,09:17:39,IN
296,05/04/2024,09:19:29,IN
68,05/04/2024,09:29:08,IN
6,05/04/2024,09:31:52,IN
232,05/04/2024,09:34:25,IN
73,05/04/2024,09:35:39,IN
32,05/04/2024,09:41:52,IN
302,05/04/2024,09:58:30,IN
173,05/04/2024,10:14:12,IN
289,05/04/2024,10:39:24,IN
90,05/04/2024,10:54:52,OUT
269,05/04/2024,11:23:41,IN
303,05/04/2024,11:46:40,IN
278,05/04/2024,12:18:32,IN
188,05/04/2024,12:24:59,IN
292,05/04/2024,12:30:13,IN
280,05/04/2024,12:30:54,IN
178,05/04/2024,12:31:32,IN
200,05/04/2024,12:31:39,IN
312,05/04/2024,12:33:24,OUT
291,05/04/2024,12:33:32,IN
144,05/04/2024,12:53:37,IN
122,05/04/2024,12:56:22,IN
241,05/04/2024,12:59:05,OUT
252,05/04/2024,13:06:04,IN
191,05/04/2024,13:33:07,IN
145,05/04/2024,13:35:19,IN
31,05/04/2024,13:39:32,OUT
310,05/04/2024,13:40:00,OUT
224,05/04/2024,13:40:10,IN
94,05/04/2024,13:42:06,OUT
133,05/04/2024,14:11:07,IN
290,05/04/2024,14:34:41,OUT
271,05/04/2024,14:35:27,OUT
